,name,category,year,birth_date,birth_country,death_date,prize_share,affiliation,motivation,uni_region,uni_country,founding_year,uni_rank,wiki_summary,wiki_url,wiki_other_languages,wiki_category,amount_wiki_categories,amount_NYT_articles
528,Ben Roy Mottelson,The Nobel Prize in Physics,1975,1926,USA,2022, 1/3 ,"Nordita, Copenhagen, Denmark ", “for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection” ,,,,,Ben Roy Mottelson (9 July 1926 – 13 May 2022) was an American-Danish nuclear physicist. He won the 1975 Nobel Prize in Physics for his work on the non-spherical geometry of atomic nuclei.,https://en.wikipedia.org/wiki/Ben_Roy_Mottelson,60,"['1926 births', '2022 deaths', '21st-century American physicists', 'American Nobel laureates', 'American nuclear physicists', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with DBLP identifiers', 'Articles with DTBIO identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with MATHSN identifiers', 'Articles with MGP identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'Atoms for Peace Award recipients', 'CS1 Danish-language sources (da)', 'CS1 Norwegian-language sources (no)', 'Danish Jews', 'Danish Nobel laureates', 'Danish nuclear physicists', 'Danish physicists', 'Fellows of Bangladesh Academy of Sciences', 'Foreign associates of the National Academy of Sciences', 'Harvard University alumni', 'Jewish American scientists', 'Jewish physicists', 'Members of the American Philosophical Society', 'Members of the Norwegian Academy of Science and Letters', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'Pages using infobox person with multiple spouses', 'People associated with CERN', 'Purdue University alumni', 'Scientists from Chicago', 'Short description is different from Wikidata', 'Use dmy dates from May 2022', 'Webarchive template wayback links']",54,7
529,Leo James Rainwater,The Nobel Prize in Physics,1975,1917,USA,1986, 1/3 ,"Columbia University, New York, NY, USA ", “for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection” ,Northern America,United States,1754,  8 ,"Leo James Rainwater (December 9, 1917 – May 31, 1986) was an American physicist who shared the Nobel Prize in Physics in 1975 for his part in determining the asymmetrical shapes of certain atomic nuclei.
During World War II, he worked on the Manhattan Project that developed the first atomic bombs. In 1949, he began developing his theory that, contrary to what was then believed, not all atomic nuclei are spherical. His ideas were later tested and confirmed by Aage Bohr's and Ben Mottelson's experiments. He also contributed to the scientific understanding of X-rays and participated in the United States Atomic Energy Commission and naval research projects.
Rainwater joined the physics faculty at Columbia in 1946, where he reached the rank of full professor in 1952 and was named Pupin Professor of Physics in 1982. He received the Ernest Orlando Lawrence Award for Physics in 1963 and in 1975 was awarded the Nobel Prize in Physics, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"".",https://en.wikipedia.org/wiki/James_Rainwater,58,"['1917 births', '1986 deaths', 'American Nobel laureates', 'American nuclear physicists', 'Articles with DTBIO identifiers', 'Articles with GND identifiers', 'Articles with MGP identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'California Institute of Technology alumni', 'Columbia University alumni', 'Columbia University faculty', 'Commons category link is on Wikidata', 'Fellow Members of the IEEE', 'Fellows of Optica (society)', 'Fellows of the American Physical Society', 'Good articles', 'Manhattan Project people', 'Members of the United States National Academy of Sciences', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'People from Council, Idaho', 'Short description matches Wikidata', 'Use mdy dates from September 2017']",26,2
530,John Warcup Cornforth,The Nobel Prize in Chemistry,1975,1917,Australia,2013, 1/2 ,"University of Sussex, Brighton, United Kingdom ", “for his work on the stereochemistry of enzyme-catalyzed reactions” ,Northern Europe,United Kingdom,1961,  151-200 ,"Sir John Warcup Cornforth Jr.,  (7 September 1917 – 8 December 2013) was an Australian–British chemist who won the Nobel Prize in Chemistry in 1975 for his work on the stereochemistry of enzyme-catalysed reactions, becoming the only Nobel laureate born in New South Wales.Cornforth investigated enzymes that catalyse changes in organic compounds, the substrates, by taking the place of hydrogen atoms in a substrate's chains and rings. In his syntheses and descriptions of the structure of various terpenes, olefins, and steroids, Cornforth determined specifically which cluster of hydrogen atoms in a substrate were replaced by an enzyme to effect a given change in the substrate, allowing him to detail the biosynthesis of cholesterol. For this work, he won a share of the Nobel Prize in Chemistry in 1975, alongside co-recipient Vladimir Prelog, and was knighted in 1977.",https://en.wikipedia.org/wiki/John_Cornforth,56,"['1917 births', '2013 deaths', 'Academics of the University of Sussex', 'Academics of the University of Warwick', 'All articles with unsourced statements', ""Alumni of St Catherine's College, Oxford"", 'Articles with DTBIO identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with LCCN identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NSK identifiers', 'Articles with SNAC-ID identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from January 2014', 'Articles with unsourced statements from September 2017', 'Australian Commanders of the Order of the British Empire', 'Australian Fellows of the Royal Society', 'Australian Knights Bachelor', 'Australian Nobel laureates', 'Australian atheists', 'Australian chemists', 'Australian deaf people', 'Australian emigrants to the United Kingdom', 'Australian of the Year Award winners', 'Australian people of English descent', 'Australian people of German descent', 'British scientists with disabilities', 'CS1 errors', 'CS1 maint', 'Commons category link is locally defined', 'Companions of the Order of Australia', 'EngvarB from June 2017', 'Fellows of the Australian Academy of Science', 'Foreign associates of the National Academy of Sciences', 'Members of the Royal Netherlands Academy of Arts and Sciences', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'Organic chemists', 'People educated at Sydney Boys High School', 'People from Armidale', 'People from Oxford', 'People from Sussex', 'People from Warwick', 'Recipients of the Copley Medal', 'Royal Medal winners', 'Scientists from Sydney', 'Short description is different from Wikidata', 'University of Sydney alumni', 'Use dmy dates from July 2018', 'Webarchive template wayback links']",55,6
531,Vladimir Prelog,The Nobel Prize in Chemistry,1975,1906,Austria-Hungary (now Bosnia and Herzegovina),1998, 1/2 ,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology), Zurich, Switzerland ", “for his research into the stereochemistry of organic molecules and reactions” ,,,,,"Vladimir Prelog  (23 July 1906 – 7 January 1998) was a Croatian-Swiss organic chemist who received the 1975 Nobel Prize in chemistry for his research into the stereochemistry of organic molecules and reactions. Prelog was born and grew up in Sarajevo. He lived and worked in Prague, Zagreb and Zürich during his lifetime.",https://en.wikipedia.org/wiki/Vladimir_Prelog,62,"['1906 births', '1998 deaths', '20th-century Croatian people', '20th-century chemists', 'Academic staff of ETH Zurich', 'All articles with unsourced statements', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with Croatian-language sources (hr)', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with HDS identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from May 2015', 'Articles with unsourced statements from November 2015', 'Articles with unsourced statements from September 2018', 'Bosnia and Herzegovina expatriates in Switzerland', 'Bosnia and Herzegovina scientists', 'Burials at Mirogoj Cemetery', 'Commons category link is on Wikidata', 'Croatian Austro-Hungarians', 'Croatian Nobel laureates', 'Croatian chemists', 'Croatian emigrants to Switzerland', 'Czech Technical University in Prague alumni', 'EngvarB from July 2017', 'Foreign Members of the Royal Society', 'Foreign Members of the Russian Academy of Sciences', 'Foreign Members of the USSR Academy of Sciences', 'Foreign associates of the National Academy of Sciences', 'Harv and Sfn no-target errors', 'Members of the American Philosophical Society', 'Members of the Serbian Academy of Sciences and Arts', 'Nobel laureates from Austria-Hungary', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'Organic chemists', 'Pages using Template', 'Scientists from Sarajevo', 'Short description is different from Wikidata', 'Stereochemists', 'Swiss Nobel laureates', 'Use dmy dates from June 2020', 'Webarchive template wayback links', 'Wikipedia indefinitely semi-protected pages', 'Yugoslav Nobel laureates', 'Yugoslav emigrants to Switzerland']",61,7
532,David Baltimore,The Nobel Prize in Physiology or Medicine,1975,1938,USA,, 1/3 ,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA ", “for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell” ,Northern America,United States,1861,  3  ,"David Baltimore (born March 7, 1938) is an American biologist, university administrator, and 1975 Nobel laureate in Physiology or Medicine. He is President Emeritus and Distinguished Professor of Biology at the California Institute of Technology (Caltech), where he served as president from 1997 to 2006. He also served as the director of the Joint Center for Translational Medicine, which joined Caltech and UCLA in a program to translate basic scientific discoveries into clinical realities. He also formerly served as president of Rockefeller University from 1990 to 1991, founder and director of the Whitehead Institute of Biomedical Research from 1982 to 1990, and was president of the American Association for the Advancement of Science in 2007.
Baltimore has profoundly influenced international science, including key contributions to immunology, virology, cancer research, biotechnology, and recombinant DNA research, through his accomplishments as a researcher, administrator, educator, and public advocate for science and engineering. He has trained many doctoral students and postdoctoral fellows, several of whom have gone on to notable and distinguished research careers. In addition to the Nobel Prize, he has received a number of awards, including the U.S. National Medal of Science in 1999 and the Lasker Award in 2021. Baltimore sits on the Board of Sponsors for the Bulletin of the Atomic Scientists and as a senior scientific advisor to the Science Philanthropy Alliance.",https://en.wikipedia.org/wiki/David_Baltimore,51,"['1938 births', 'All articles with unsourced statements', 'American Nobel laureates', 'American biotechnologists', 'American immunologists', 'Articles citing retracted publications', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with DBLP identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from September 2008', 'Biotechnologists', 'CS1 Spanish-language sources (es)', 'CS1 maint', 'California Institute of Technology faculty', 'Commons category link from Wikidata', 'Fellows of the American Academy of Arts and Sciences', 'Fellows of the American Association for the Advancement of Science', 'Foreign Members of the Royal Society', 'Great Neck North High School alumni', 'History of biotechnology', 'Jewish American scientists', 'Jewish physicians', 'Living people', 'Massachusetts Institute of Technology School of Science faculty', 'Members of the American Philosophical Society', 'Members of the European Molecular Biology Organization', 'Members of the French Academy of Sciences', 'Members of the National Academy of Medicine', 'Members of the Pontifical Academy of Sciences', 'Members of the United States National Academy of Sciences', 'National Medal of Science laureates', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'People from Forest Hills, Queens', 'People from Great Neck, New York', 'People from Rego Park, Queens', 'Presidents of Rockefeller University', 'Presidents of the California Institute of Technology', 'Short description is different from Wikidata', 'Swarthmore College alumni', 'Use mdy dates from July 2020']",57,305
533,Renato Dulbecco,The Nobel Prize in Physiology or Medicine,1975,1914,Italy,2012, 1/3 ,"Imperial Cancer Research Fund Laboratory, London, United Kingdom ", “for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell” ,,,,,"Renato Dulbecco ( dul-BEK-oh, Italian: [reˈnaːto dulˈbɛkko, -ˈbek-]; February 22, 1914 – February 19, 2012) was an Italian–American virologist who won the 1975 Nobel Prize in Physiology or Medicine for his work on oncoviruses, which are viruses that can cause cancer when they infect animal cells. He studied at the University of Turin under Giuseppe Levi, along with fellow students Salvador Luria and Rita Levi-Montalcini, who also moved to the U.S. with him and won Nobel prizes. He was drafted into the Italian army in World War II, but later joined the resistance.",https://en.wikipedia.org/wiki/Renato_Dulbecco,52,"['1914 births', '2012 deaths', 'American Nobel laureates', 'Articles with BIBSYS identifiers', 'Articles with BNC identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with DBI identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PortugalA identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'California Institute of Technology faculty', 'Foreign Members of the Royal Society', 'Italian Nobel laureates', 'Italian emigrants to the United States', 'Italian military personnel of World War II', 'Italian resistance movement members', 'Italian virologists', 'Members of the American Philosophical Society', 'Members of the United States National Academy of Sciences', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'People from Catanzaro', 'Physicians from Turin', 'Recipients of the Albert Lasker Award for Basic Medical Research', 'Salk Institute for Biological Studies people', 'Short description is different from Wikidata', 'University of Turin alumni']",46,28
534,Howard Martin Temin,The Nobel Prize in Physiology or Medicine,1975,1934,USA,1994, 1/3 ,"University of Wisconsin, Madison, WI, USA ", “for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell” ,,,,,"Howard Martin Temin (December 10, 1934 – February 9, 1994) was an American geneticist and virologist. He discovered reverse transcriptase in the 1970s at the University of Wisconsin–Madison, for which he shared the 1975 Nobel Prize in Physiology or Medicine with Renato Dulbecco and David Baltimore.",https://en.wikipedia.org/wiki/Howard_Martin_Temin,47,"['1934 births', '1994 deaths', 'American Nobel laureates', 'American geneticists', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with SNAC-ID identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Biotechnologists', 'California Institute of Technology alumni', 'Central High School (Philadelphia) alumni', 'Commons category link is on Wikidata', 'Deaths from lung cancer', 'Foreign Members of the Royal Society', 'Founding members of the World Cultural Council', 'Jewish American scientists', 'Jewish geneticists', 'Members of the American Philosophical Society', 'Members of the National Academy of Medicine', 'National Medal of Science laureates', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'Recipients of the Albert Lasker Award for Basic Medical Research', 'Short description is different from Wikidata', 'Swarthmore College alumni', 'University of Wisconsin–Madison faculty', 'Use mdy dates from September 2017']",36,5
535,Eugenio Montale,The Nobel Prize in Literature,1975,1896,Italy,1981, 1/1 ,," “for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions” ",,,,,"Eugenio Montale (Italian: [euˈdʒɛːnjo monˈtaːle]; 12 October 1896 – 12 September 1981) was an Italian poet, prose writer, editor and translator, and recipient of the 1975 Nobel Prize in Literature.",https://en.wikipedia.org/wiki/Eugenio_Montale,84,"['1896 births', '1981 deaths', '20th-century Italian poets', '20th-century Italian translators', 'Action Party (Italy) politicians', 'All articles that may contain original research', 'All articles with unsourced statements', 'Articles that may contain original research from March 2013', 'Articles with BIBSYS identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DBI identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Libris identifiers', 'Articles with MusicBrainz identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NLK identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with RISM identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with VcBA identifiers', 'Articles with short description', 'Articles with unsourced statements from January 2023', 'CS1 Italian-language sources (it)', 'Chapbook writers', 'Commons category link is on Wikidata', 'English–Italian translators', 'Italian Liberal Party politicians', 'Italian Nobel laureates', 'Italian Republican Party politicians', 'Italian anti-fascists', 'Italian life senators', 'Italian male poets', 'Italian military personnel of World War I', 'Manifesto of the Anti-Fascist Intellectuals', 'Nobel laureates in Literature', 'Nobelprize template using Wikidata property P8024', 'Politicians from Genoa', 'Short description is different from Wikidata', 'Struga Poetry Evenings Golden Wreath laureates', 'Translators of John Steinbeck', 'Translators of T. S. Eliot', 'Use dmy dates from October 2019', 'Writers from Genoa']",62,132
536,Andrei Dmitrievich Sakharov,The Nobel Peace Prize,1975,1921,Russia,1989, 1/1 ,," “for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations” ",,,,,"Andrei Dmitrievich Sakharov (Russian: Андрей Дмитриевич Сахаров, IPA: [ɐnˈdrʲej ˈdmʲitrʲɪjevʲɪtɕ ˈsaxərəf]; 21 May 1921 – 14 December 1989) was a Soviet physicist and a Nobel Peace Prize laureate, which he was awarded in 1975 for emphasizing human rights around the world.  
Although he spent his career in physics in the Soviet program of nuclear weapons, overseeing the development of thermonuclear weapons, Sakharov also did fundamental work in understanding particle physics, magnetism, and physical cosmology. Sakaharov is mostly known for his political activism for individual freedom, human rights, civil liberties and reforms in Russia, for which, he was deemed as a dissident and faced persecution from the Soviet establishment.In his memory, the Sakharov Prize is established by the European Parliament which is awarded annually for the people and organizations dedicated to human rights and freedoms.",https://en.wikipedia.org/wiki/Andrei_Sakharov,91,"['1921 births', '1989 deaths', '20th-century Russian writers', '20th-century male writers', '20th-century memoirists', 'All articles needing additional references', 'All articles with unsourced statements', 'Amnesty International prisoners of conscience held by the Soviet Union', 'Articles containing Russian-language text', 'Articles needing additional references from December 2016', 'Articles needing translation from Russian Wikipedia', 'Articles with BIBSYS identifiers', 'Articles with BNC identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Libris identifiers', 'Articles with MGP identifiers', 'Articles with NARA identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NLK identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with Russian-language sources (ru)', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with WorldCat Entities identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from March 2021', 'CS1 French-language sources (fr)', 'CS1 Italian-language sources (it)', 'CS1 Russian-language sources (ru)', 'CS1 Spanish-language sources (es)', 'CS1 errors', 'CS1 errors', 'CS1 maint', 'CS1 maint', 'CS1 maint', 'CS1 uses Russian-language script (ru)', 'Commons category link is on Wikidata', 'Deaths from cardiomyopathy', 'European democratic socialists', 'Fellows of the American Physical Society', 'Full Members of the USSR Academy of Sciences', 'Grand Crosses of the Order of the Cross of Vytis', 'Heroes of Socialist Labour', 'Hunger strikers', 'Male non-fiction writers', 'Members of the American Philosophical Society', ""Members of the Congress of People's Deputies of the Soviet Union"", 'Moscow State University alumni', 'Nobel Peace Prize laureates', 'Nobelprize template using Wikidata property P8024', 'Nuclear weapons program of the Soviet Union', 'Nuclear weapons scientists and engineers', 'People from Moscow', 'People of the Cold War', 'Perestroika', 'Political party founders', 'Recipients of the Lenin Prize', 'Recipients of the Order of Lenin', 'Recipients of the Stalin Prize', 'Russian physicists', 'Russian political prisoners', 'Short description is different from Wikidata', 'Soviet Nobel laureates', 'Soviet anti–nuclear weapons activists', 'Soviet atheists', 'Soviet dissidents', 'Soviet human rights activists', 'Soviet inventors', 'Soviet male writers', 'Soviet memoirists', 'Soviet non-fiction writers', 'Soviet nuclear physicists', 'Soviet physicists', 'Soviet prisoners and detainees', 'Soviet psychiatric abuse whistleblowers', 'Soviet reformers', 'Use mdy dates from May 2012', 'Webarchive template wayback links', 'Wikipedia further reading cleanup', 'Wikipedia spam cleanup from July 2018', 'World War II refugees', 'Writers from Moscow']",103,2
537,Leonid Vitaliyevich Kantorovich,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1975,1912,Russian Empire (now Russia),1986, 1/2 ,"Academy of Sciences, Moscow, USSR (now Russia) ", “for their contributions to the theory of optimum allocation of resources” ,,,,,"Leonid Vitalyevich Kantorovich (Russian: Леони́д Вита́льевич Канторо́вич, IPA: [lʲɪɐˈnʲit vʲɪˈtalʲjɪvʲɪtɕ kəntɐˈrovʲɪtɕ] (listen); 19 January 1912 – 7 April 1986) was a Soviet mathematician and economist, known for his theory and development of techniques for the optimal allocation of resources. He is regarded as the founder of linear programming. He was the winner of the Stalin Prize in 1949 and the Nobel Memorial Prize in Economic Sciences in 1975.",https://en.wikipedia.org/wiki/Leonid_Kantorovich,62,"['1912 births', '1986 deaths', '20th-century Russian economists', '20th-century Russian mathematicians', 'Academic staff of Military Engineering-Technical University', 'Academic staff of Novosibirsk State University', 'Academic staff of Saint Petersburg State University', 'All articles with dead external links', 'Approximation theorists', 'Articles containing Russian-language text', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DBLP identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Libris identifiers', 'Articles with MATHSN identifiers', 'Articles with MGP identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with Russian-language sources (ru)', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with dead external links from December 2017', 'Articles with hAudio microformats', 'Articles with hCards', 'Articles with permanently dead external links', 'Articles with short description', 'Burials at Novodevichy Cemetery', 'CS1 errors', 'CS1 maint', 'Fellows of the Econometric Society', 'Full Members of the USSR Academy of Sciences', 'Functional analysts', 'General equilibrium theorists', 'Mathematical economists', 'Mathematicians from Saint Petersburg', 'Nobel laureates in Economics', 'Nobelprize template using Wikidata property P8024', 'Operations researchers', 'Operator theorists', 'Pages using infobox economist as a module', 'People from Sankt-Peterburgsky Uyezd', 'Recipients of the Lenin Prize', 'Recipients of the Order of Lenin', 'Recipients of the Order of the Red Banner of Labour', 'Recipients of the Stalin Prize', 'Russian Jews', 'Russian economists', 'Russian mathematicians', 'Saint Petersburg State University alumni', 'Short description is different from Wikidata', 'Soviet Jews', 'Soviet Nobel laureates', 'Soviet economists', 'Soviet mathematicians', 'Variational analysts']",72,2
538,Tjalling C. Koopmans,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1975,1910,the Netherlands,1985, 1/2 ,"Yale University, New Haven, CT, USA ", “for their contributions to the theory of optimum allocation of resources” ,Northern America,United States,1701,  11 ,"Tjalling Charles Koopmans (August 28, 1910 – February 26, 1985) was a Dutch-American mathematician and economist. He was the joint winner with Leonid Kantorovich of the 1975 Nobel Memorial Prize in Economic Sciences for his work on the theory of the optimum allocation of resources.  Koopmans showed that on the basis of certain efficiency criteria, it is possible to make important deductions concerning optimum price systems.",https://en.wikipedia.org/wiki/Tjalling_Koopmans,48,"['1910 births', '1985 deaths', '20th-century American economists', '20th-century American mathematicians', '20th-century American writers', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with BPN identifiers', 'Articles with DBLP identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with MATHSN identifiers', 'Articles with MGP identifiers', 'Articles with NKC identifiers', 'Articles with NLK identifiers', 'Articles with NTA identifiers', 'Articles with SNAC-ID identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'CS1 Dutch-language sources (nl)', 'CS1 errors', 'CS1 errors', 'Commons category link from Wikidata', 'Distinguished Fellows of the American Economic Association', 'Dutch Nobel laureates', 'Dutch economists', 'Dutch emigrants to the United States', 'Dutch mathematicians', 'Econometricians', 'Fellows of the American Statistical Association', 'Fellows of the Econometric Society', 'Fellows of the Institute of Mathematical Statistics', 'General equilibrium theorists', 'Mathematical economists', 'Members of the Royal Netherlands Academy of Arts and Sciences', 'Nobel laureates in Economics', 'Nobelprize template using Wikidata property P8024', 'Operations researchers', 'People from Wijdemeren', 'Presidents of the American Economic Association', 'Presidents of the Econometric Society', 'Short description is different from Wikidata', 'Time series econometricians', 'University of Amsterdam alumni', 'Utrecht University alumni']",55,21
